Sampled folio	Quire	Lab name	Batch	ZooMS ID (manual)	ZooMS ID (automated)	Confidence score	PQI	SE	Proteomic cluster	Visual cluster	Remains of ink	Text orientation	Line spacing (mm)	Column width (cm)	Traces of tools	Other comments	Average parchment thickness (mm)	Hair follicle patterns	Glass-like layer	Degradation signs
1	1	UoC01	1	Sheep	Sheep	17.15	0.965122709838872	0.100853463185719	4	A	Yes	Horizontal	10.9-11.4				0.21	Undefined	Gelatin formation is seen on the surface	
2	1	UoC02	1	Sheep	Sheep	6.45	0.835546401739623	0.102135604194232	4	A	Yes	Horizontal					0.29	Undefined	"
Gelatin formation is seen on the edges, especially in hair follicles"	
3	1	UoC03	1	Sheep	Sheep	9.6	0.910907877765921	0.104495767520938	4	A	Yes	Horizontal	10.8				0.23	Yes, with remains of dark hair		
4	1	UoC04	1	Sheep	Sheep	8.05	0.823546091209985	0.10613998578001	4	A	Yes	Horizontal	11.4	8 cm	Clear line markings		0.26	Yes, looks bright (calcite)	Gelatin formation is seen on the surface	
8	1	UoC25	2	Sheep	Sheep	12.25	0.943879027591796	0.103051774627717	4											
9	2	UoC05	1	Goat	Goat	10.3	0.970365031563635	0.104494737267073	1	D	No	Horizontal?			Double margin?		0.21	Yes, clear hair follicles	Gelatin formation is seen in the hair follicles	
10	2	UoC26	2	Goat	Goat	22.5	0.912805265131247	0.103463667987013	1	D	No	Horizontal?			Double margin?		0.2	Yes, clear hair follicles	Gelatin formation is seen in the hair follicles	
11	2	UoC27	2	Goat	Goat	25.9	0.879274877782273	0.098995618045723	1	D	No	Horizontal?					0.22	Yes, clear hair follicles	Gelatin formation is seen in the hair follicles	
12	2	UoC28	2	Goat	Goat	27.3	1.12674035009997	0.098772178333912	1	D	No	Horizontal?			Double margin line marking		0.24	Yes, clear hair follicles	Gelatin formation is seen in the hair follicles	
16	2	UoC29	2	Sheep+Goat+Calf?	Goat	13.3	1.12528371906024	0.097427453512675	1											
17	3	UoC30	2	Goat	Goat	8.85	0.875413403986441	0.104223863787691	1	D	No	Vertical	9?		Lines that have been sanded and a possible margin line marking / cut at the bottom of leaf 24v		0.23	Yes, clear hair follicles	Gelatin formation is seen in the hair follicles	
18	3	UoC31	2	Goat	Goat	18.0	0.851495373274176	0.099217447369885	1	D	No	Horizontal?			Double margin line marking		0.21	Yes, clear hair follicles	Gelatin formation is seen in the hair follicles	
19	3	UoC32	2	Sheep+Goat+Calf?	Goat	17.2	0.91426215543125	0.10486832077048	1	D	No	Horizontal?					0.36	Undefined	Gelatin formation is seen in the hair follicles	
20	3	UoC33	3	Goat	Goat	17.65	0.966816755151466	0.098160863231061	1	D	No						0.17	Yes, clear hair follicles	Gelatin formation is seen in the hair follicles	
25	4	UoC34	3	Sheep	Sheep	18.05	0.957488005390056	0.099774735519889	4	C (D?)	No				Double margin line marking		0.25	Yes, with dark hair		
26	4	UoC35	3	Sheep	Sheep	9.2	0.916464018356181	0.097078944327271	4	C 	No				Double margin line marking and holes		0.18	Yes, with dark hair		
27	4	UoC36	3	Sheep	Sheep	22.35	0.779913059449141	0.102301946578618	5	C 	No				Double margin line marking and holes		0.32	Yes, with dark hair		
29	4	UoC37	3	Goat	Goat	37.75	0.923686678985425	0.10056966945831	1	D	No	Horizontal?			Double margin line marking		0.21	Yes, clear hair follicles		
31	4	UoC38	3	Goat	Goat	23.65	0.967080524041264	0.100633542347235	1	C	Yes	Vertical	10			The text continues beyond the top and bottom edges of the leaf	0.17	Undefined		
32	5	UoC06	1	Sheep	Sheep	14.7	0.960452876912282	0.101430934029678	5	A	Yes	Horizontal	10.9-11.2				0.2	Yes, looks bright (calcite)	Gelatin formation is seen on the surface, Gelatin flakes	
33	5	UoC39	3	Sheep	Sheep	26.15	0.982208308489886	0.101099941731629	5	A (C?)	Yes	Horizontal	10.1-11.8	10 cm (1 of 2 columns?)			0.18	Yes, looks bright (calcite)	Gelatin formation is seen on the surface.	Pink mold along the outer edge
34	5	UoC40	3	Sheep	Sheep	21.4	0.832377362879626	0.10554787664579	5	A	Yes	Horizontal	9.8-10.3				0.17	Yes, looks bright (calcite)	Gelatin formation is seen on the surface.	Pink mold along the outer edge
35	5	UoC41	3	Sheep	Sheep	12.05	0.877525810971932	0.102686383690523	5	A	Yes	Horizontal	10.9-11.6	9 cm?		The text continues beyond the top edge of the leaf	0.17	Yes, looks bright (calcite)	Gelatin formation is seen on the surface, Gelatin flakes	Mold along the outer edge
40	6	UoC07	1	Sheep	Sheep	8.1	0.834393911837952	0.098896756880914	5	B	Yes	Vertical	9.3-10	16 cm column	Line marking along the bottom edge	Same width as existing text height	0.27	Yes, looks bright (calcite)	Gelatin formation is seen on the surface, Gelatin flakes	
41	6	UoC42	3	Sheep	Sheep	25.05	0.909882464039213	0.099730596269709	5	B	Yes	Vertical	9.8-10.3	18 cm column	Line marking along the top edge (knife holes) 	The text continues beyond the bottom edge	0.19	Yes, with remains of light and dark hair	Gelatin formation is seen on the surface, Gelatin flakes	
42	6	UoC43	3	Goat	Goat	18.4	0.703451410295013	0.103281634318196	2	C	Yes	Vertical	9.7-10.9		Line marking along the bottom edge (knife holes)	The text continues beyond the outer edge of the leaf	0.18	Yes, clear hair follicles		Pink mold stains on the outer edge
43	6	UoC08	1	Goat	Goat	10.7	0.813353785663419	0.096422296041137	2	C	Yes	Vertical	10.4-10.7		Line marking along the bottom edge	The text continues beyond the top edge of the leaf	0.22	Undefined		
48	7	UoC44	3	Goat	Goat	11.8	0.943714163027383	0.107526872981753	2	C	Yes	Horizontal	10.2		Lines?	Text beyond the top and bottom edge?	0.19	Yes, clear hair follicles	Gelatin formation is seen in the hair follicles	Pink mold in the edge
49	7	UoC10	1	Goat	Goat	21.7	0.751323218114441	0.107515028925131	2	C	Yes	Vertical	9.8-11.5			The text continues beyond the bottom edge	0.17	Yes, with dark hair		
50	7	UoC09	1	Goat	Goat	28.3	0.809312484391839	0.100510151208771	2	C	Yes	Vertical	10.1-11.4			The text continues beyond the bottom edge	0.24	Yes, with dark hair		
51	7	UoC45	3	Goat	Goat	17.5	1.00787117268663	0.114544023648675	2	C	Yes	Horizontal	9.7			The text continues beyond the top edge of the leaf	0.23	Yes, with dark hair		
56	8	UoC11	1	Goat	Goat	14.15	0.791436360425995	0.098602163718888	2	C	Yes	Vertical	10.8-11.1	2 columns of c. 10 cm each	Line marking, not in the same direction than the new text	The text continues beyond the top edge of the leaf	0.18	Yes, with dark hair		
57	8	UoC12	1	Goat	Goat	25.55	0.962437286479186	0.098202744648343	2	C	Yes	Vertical	9.5-10.6	2 columns of c. 10.5 cm each and 1.5 cm between	Line marking along the bottom edge (knife holes)	The text extends beyond the top edge of the leaf	0.22	Yes, with dark hair		
58	8	UoC46	3	Sheep	Sheep	4.85	0.909510928193733	0.109347625620598	5	C	Yes	Horizontal	10.6-12.1, large variation	2 columns of c. 10 cm each	Some markings	The text extends beyond the outer edges	0.17	Undefined	Gelatin formation is seen in the hair follicles	
59	8	UoC47	3	Goat	Goat	22.45	0.944560835886253	0.107482043314201	2	C	Yes	Horizontal	11.9-12.7, large variation	2 columns of c. 10.5 cm each	Some markings	The text goes beyond the bottom and outer edges. Use of a lighter ink? 	0.24	Yes, clear hair follicles	Gelatin formation is seen in the hair follicles	
64	9	UoC13	1	Sheep	Sheep	20.95	0.929759914483557	0.09691574482722	5	B	Yes	Vertical	9.5-9.7	16 cm column		Same width as existing text height? The text continues beyond the outer edge of the leaf	0.19	Yes, looks bright (calcite) and has remains of light hair	Gelatin formation is seen on the surface, Gelatin flakes	
65	9	UoC14	1	Sheep	Sheep	24.6	0.716671607185241	0.097274886834519	5	B	Yes	Vertical	9.7-9.9	16 cm column		Same width as existing text height? The height continues beyond the outer edge of the leaf	0.22	Yes, looks bright (calcite) and has remains of light hair	Gelatin formation is seen on the surface, Gelatin flakes	
66	9	UoC15	1	Sheep	Sheep	21.5	0.751730125634971	0.098629289805698	5	C	Yes	Vertical	10.5-11.5		Some lines	The text extends beyond the top edge of the leaf	0.23	Yes, looks bright (calcite) and has remains of light hair	Gelatin formation is seen on the surface, Gelatin flakes	
67	9	UoC16	1	Sheep	Sheep	29.3	0.779380957518795	0.101485189176594	5	B	Yes	Vertical	9.9-11.2	18 cm column		Same width as existing text height? The text continues beyond the top edge. A `red` letter is seen at the top	0.19	Yes, with remains of light hair	Gelatin formation is seen on the surface, Gelatin flakes	Mold along the outer edge
72	10	UoC17	1	Sheep	Sheep	28.85	0.884964505604131	0.101875945369321	5	B	Yes	Vertical	10.1-10.4	18 cm column	Line marking along the bottom edge (knife holes)	The text continues beyond the bottom edge	0.13	Yes, has slightly longer rows	Gelatin formation is seen on the surface in specific areas, Gelatin flakes	
73	10	UoC18	1	Sheep	Sheep	23.7	0.89298678637937	0.099067346970198	5	B	Yes	Vertical	9.7-10	16 cm column	Line marking along the bottom edge (knife holes)		0.14	Yes, with remains of dark hair		
74	10	UoC48	3	Sheep	Sheep	5.8	0.965516662215404	0.109450064568652	5	B	Yes	Vertical	10.2	16 cm column	Line marking along the top edge (knife holes)		0.14	Yes, with dark hair		
75	10	UoC49	3	Sheep	Sheep	17.5	0.898784390340013	0.113034973527111	5	B	Yes	Vertical	9.7-10.1	16 cm column	Line marking along the bottom edge (knife holes)	The text continues beyond the outer edge of the leaf	0.21	Yes, looks bright (calcite) and has remains of light hair	Gelatin formation is seen on the surface and hair follicles	
80	11	UoC50	3	Sheep	Sheep	20.35	0.8451790967132	0.113748771060775	5	B	Yes	Vertical	8.7-9.1	18 cm column	Margin line?		0.22	Yes, has slightly longer rows and dark hairs		Water damage
81	11	UoC19	1	Sheep	Sheep	31.2	0.775824655363449	0.103082533469581	5	B	Yes	Vertical	10-10.3	16 cm column		The text continues beyond the outer and top edges of the leaf	0.22	Yes (calcite)	Gelatin formation is seen on the surface	
82	11	UoC51	3	Sheep	Sheep	15.0	0.942985040345219	0.109746279404364	5	B	Yes	Vertical	10.2	16 cm column		The text continues beyond the outer edge of the leaf	0.21	Yes (calcite)	Gelatin formation is seen on the surface	
83	11	UoC52	3	Sheep	Sheep	17.5	0.895927549624864	0.110860987428324	5	B	Yes	Vertical	9.9-10.2	16 cm column	Line marking along the bottom edge (knife holes)	The text continues beyond both outer edges	0.24	Yes (calcite)	Gelatin formation is seen on the surface	
88	12	UoC20	1	Sheep	Sheep	18.85	1.0662208567382	0.09966124622213	5	B	Yes	Vertical	10.7	16 cm column			0.19	Yes, with light hair	Gelatin formation is seen on the surface in specific areas	Water damage
89	12	UoC21	1	Sheep	Sheep	19.6	0.897728447482008	0.100585471992277	5	B	Yes	Vertical	10.3			Text remnants beyond the top edge	0.22	Yes, with light hair	Gelatin formation is seen on the surface in specific areas	
89	12	UoC53	3	Sheep	Sheep	29.8	0.900147383084278	0.115501347355604	5											
90	12	UoC22	1	Sheep	Sheep	25.15	0.901498854022954	0.094867215395436	5	C	Yes	Horizontal	10.1-11.2		Margin marking and holes	Text beyond all the edges. Observation of lighter ink and some red initials 	0.19	Yes, with light hair	Gelatin formation is seen on the surface in specific areas	
91	12	UoC23	1	Sheep	Sheep	8.85	0.912784381358683	0.103534185415162	5	C	Yes	Horizontal	10.5-11.2	2 columns of c. 10 cm each		The text continues beyond the bottom edge. Use of lighter ink? It could be one column over 2 pages of approx. 23.5 cm or 2 of approx 10 cm each.	0.26	Yes, with dark hair	Gelatin formation is seen on the surface in specific areas	
96	13	UoC54	3	Sheep	Sheep	29.8	0.880542742767999	0.0997730076891	5	B	Yes	Vertical	10.1	16 cm column		Text beyond the outer edge?	0.2	Yes (calcite)	Gelatin formation is seen on the surface and dispersed hair follicles	
97	13	UoC24	1	Sheep	Sheep	22.0	0.85538069210789	0.102251697923578	3	B	Yes	Horizontal	10.1	16 cm column		Text beyond the outer edge?	0.14	Undefined	Gelatin formation is seen on the surface and some dispersed hair follicles	
