sample name	replicates	species	batch	folia	side	group	pqi	SE	cluster	book
UoC01	3	Sheep	1	1	r	1	8986.0	546.0	4	1
UoC02	3	Sheep	1	2	v	1	909.0	38.0	4	1
UoC03	3	Sheep	1	3	r	1			4	1
UoC04	3	Sheep	1	4	r	1	9547.0	87.0	4	1
UoC05	3	Goat	1	9	r	2	8916.0	16.0	1	1
UoC06	3	Sheep	1	32	r	5	9219.0	32.0	5	2
UoC07	3	Sheep	1	40	r	6	9534.0	171.0	5	2
UoC08	3	Goat	1	43	r	6	975.0	105.0	2	2
UoC09	3	Goat	1	50	r	7	9825.0	113.0	2	2
UoC10	3	Goat	1	49	r	7	9638.0	88.0	2	2
UoC11	3	Goat	1	56	r	8	958.0	122.0	2	2
UoC12	3	Goat	1	57	r	8	9602.0	76.0	2	2
UoC13	3	Sheep	1	64	r	9	8824.0	228.0	5	2
UoC14	3	Sheep	1	65	r	9	9655.0	153.0	5	2
UoC15	3	Sheep	1	66	r	9	9618.0	127.0	5	2
UoC16	3	Sheep	1	67	r	9	9472.0	424.0	5	2
UoC17	3	Sheep	1	72	r	10	9546.0	126.0	5	2
UoC18	3	Sheep	1	73	r	10	9831.0	101.0	5	2
UoC19	3	Sheep	1	81	r	11	9751.0	136.0	5	2
UoC20	3	Sheep	1	88	r	12	9676.0	168.0	5	2
UoC21	3	Sheep	1	89	r	12	9817.0	82.0	5	2
UoC22	3	Sheep	1	90	r	12	945.0	138.0	5	2
UoC23	3	Sheep	1	91	r	12	9056.0	167.0	5	2
UoC24	3	Sheep	1	97	r	13	9518.0	209.0	3	2
UoC25	3	Sheep	2	8	v	1	9391.0	609.0	4	1
UoC26	3	Goat	2	10	v	2	9247.0	52.0	1	1
UoC27	3	Goat	2	11	r	2	8913.0	241.0	1	1
UoC28	3	Goat	2	12	v	2	9542.0	85.0	1	1
UoC29	3	Goat	2	16	v	2	9685.0	46.0	1	1
UoC30	3	Goat	2	17	r	3	9543.0	457.0	1	1
UoC31	3	Goat	2	18	v	3	9605.0	395.0	1	1
UoC32	3	Goat	2	19	r	3	8838.0	275.0	1	1
UoC33	3	Goat	3	20	v	3	9752.0	24.0	1	1
UoC34	3	Sheep	3	25	v	4			4	2
UoC35	3	Sheep	3	26	r	4	9635.0	319.0	4	2
UoC36	3	Sheep	3	27	v	4	9706.0	258.0	5	2
UoC37	3	Goat	3	29	v	4	100.0		1	2
UoC38	3	Goat	3	31	v	4	9352.0	16.0	1	2
UoC39	3	Sheep	3	33	v	5	9707.0	246.0	5	2
UoC40	3	Sheep	3	34	r	5	8889.0	585.0	5	2
UoC41	3	Sheep	3	35	v	5			5	2
UoC42	3	Sheep	3	41	v	6	9896.0	56.0	5	2
UoC43	3	Goat	3	42	r	6	100.0	0.0	2	2
UoC44	3	Goat	3	48	r	7			2	2
UoC45	3	Goat	3	51	v	7	998.0	2.0	2	2
UoC46	3	Sheep	3	58	r	8			5	2
UoC47	3	Goat	3	59	v	8			2	2
UoC48	3	Sheep	3	74	r	10	9921.0	79.0	5	2
UoC49	3	Sheep	3	75	v	10	9242.0	724.0	5	2
UoC50	3	Sheep	3	80	r	11	8942.0	581.0	5	2
UoC51	3	Sheep	3	82	r	11			5	2
UoC52	3	Sheep	3	83	v	11	9608.0	258.0	5	2
UoC53	3	Sheep	3	89	v	12	9759.0	241.0	5	2
UoC54	3	Sheep	3	96	r	13	9754.0	96.0	5	2
