dataset_id	file_id	sample_id	schema_version
Caron_2023_Palimpsest	UoC01_1.mzML	UoC01_1	0.1.0
Caron_2023_Palimpsest	UoC01_2.mzML	UoC01_2	0.1.0
Caron_2023_Palimpsest	UoC01_3.mzML	UoC01_3	0.1.0
Caron_2023_Palimpsest	UoC02_1.mzML	UoC02_1	0.1.0
Caron_2023_Palimpsest	UoC02_2.mzML	UoC02_2	0.1.0
Caron_2023_Palimpsest	UoC02_3.mzML	UoC02_3	0.1.0
Caron_2023_Palimpsest	UoC03_1.mzML	UoC03_1	0.1.0
Caron_2023_Palimpsest	UoC03_2.mzML	UoC03_2	0.1.0
Caron_2023_Palimpsest	UoC03_3.mzML	UoC03_3	0.1.0
Caron_2023_Palimpsest	UoC04_1.mzML	UoC04_1	0.1.0
Caron_2023_Palimpsest	UoC04_2.mzML	UoC04_2	0.1.0
Caron_2023_Palimpsest	UoC04_3.mzML	UoC04_3	0.1.0
Caron_2023_Palimpsest	UoC05_1.mzML	UoC05_1	0.1.0
Caron_2023_Palimpsest	UoC05_2.mzML	UoC05_2	0.1.0
Caron_2023_Palimpsest	UoC05_3.mzML	UoC05_3	0.1.0
Caron_2023_Palimpsest	UoC06_1.mzML	UoC06_1	0.1.0
Caron_2023_Palimpsest	UoC06_2.mzML	UoC06_2	0.1.0
Caron_2023_Palimpsest	UoC06_3.mzML	UoC06_3	0.1.0
Caron_2023_Palimpsest	UoC07_1.mzML	UoC07_1	0.1.0
Caron_2023_Palimpsest	UoC07_2.mzML	UoC07_2	0.1.0
Caron_2023_Palimpsest	UoC07_3.mzML	UoC07_3	0.1.0
Caron_2023_Palimpsest	UoC08_1.mzML	UoC08_1	0.1.0
Caron_2023_Palimpsest	UoC08_2.mzML	UoC08_2	0.1.0
Caron_2023_Palimpsest	UoC08_3.mzML	UoC08_3	0.1.0
Caron_2023_Palimpsest	UoC09_1.mzML	UoC09_1	0.1.0
Caron_2023_Palimpsest	UoC09_2.mzML	UoC09_2	0.1.0
Caron_2023_Palimpsest	UoC09_3.mzML	UoC09_3	0.1.0
Caron_2023_Palimpsest	UoC10_1.mzML	UoC10_1	0.1.0
Caron_2023_Palimpsest	UoC10_2.mzML	UoC10_2	0.1.0
Caron_2023_Palimpsest	UoC10_3.mzML	UoC10_3	0.1.0
Caron_2023_Palimpsest	UoC11_1.mzML	UoC11_1	0.1.0
Caron_2023_Palimpsest	UoC11_2.mzML	UoC11_2	0.1.0
Caron_2023_Palimpsest	UoC11_3.mzML	UoC11_3	0.1.0
Caron_2023_Palimpsest	UoC12_1.mzML	UoC12_1	0.1.0
Caron_2023_Palimpsest	UoC12_2.mzML	UoC12_2	0.1.0
Caron_2023_Palimpsest	UoC12_3.mzML	UoC12_3	0.1.0
Caron_2023_Palimpsest	UoC13_1.mzML	UoC13_1	0.1.0
Caron_2023_Palimpsest	UoC13_2.mzML	UoC13_2	0.1.0
Caron_2023_Palimpsest	UoC13_3.mzML	UoC13_3	0.1.0
Caron_2023_Palimpsest	UoC14_1.mzML	UoC14_1	0.1.0
Caron_2023_Palimpsest	UoC14_2.mzML	UoC14_2	0.1.0
Caron_2023_Palimpsest	UoC14_3.mzML	UoC14_3	0.1.0
Caron_2023_Palimpsest	UoC15_1.mzML	UoC15_1	0.1.0
Caron_2023_Palimpsest	UoC15_2.mzML	UoC15_2	0.1.0
Caron_2023_Palimpsest	UoC15_3.mzML	UoC15_3	0.1.0
Caron_2023_Palimpsest	UoC16_1.mzML	UoC16_1	0.1.0
Caron_2023_Palimpsest	UoC16_2.mzML	UoC16_2	0.1.0
Caron_2023_Palimpsest	UoC16_3.mzML	UoC16_3	0.1.0
Caron_2023_Palimpsest	UoC17_1.mzML	UoC17_1	0.1.0
Caron_2023_Palimpsest	UoC17_2.mzML	UoC17_2	0.1.0
Caron_2023_Palimpsest	UoC17_3.mzML	UoC17_3	0.1.0
Caron_2023_Palimpsest	UoC18_1.mzML	UoC18_1	0.1.0
Caron_2023_Palimpsest	UoC18_2.mzML	UoC18_2	0.1.0
Caron_2023_Palimpsest	UoC18_3.mzML	UoC18_3	0.1.0
Caron_2023_Palimpsest	UoC19_1.mzML	UoC19_1	0.1.0
Caron_2023_Palimpsest	UoC19_2.mzML	UoC19_2	0.1.0
Caron_2023_Palimpsest	UoC19_3.mzML	UoC19_3	0.1.0
Caron_2023_Palimpsest	UoC20_1.mzML	UoC20_1	0.1.0
Caron_2023_Palimpsest	UoC20_2.mzML	UoC20_2	0.1.0
Caron_2023_Palimpsest	UoC20_3.mzML	UoC20_3	0.1.0
Caron_2023_Palimpsest	UoC21_1.mzML	UoC21_1	0.1.0
Caron_2023_Palimpsest	UoC21_2.mzML	UoC21_2	0.1.0
Caron_2023_Palimpsest	UoC21_3.mzML	UoC21_3	0.1.0
Caron_2023_Palimpsest	UoC22_1.mzML	UoC22_1	0.1.0
Caron_2023_Palimpsest	UoC22_2.mzML	UoC22_2	0.1.0
Caron_2023_Palimpsest	UoC22_3.mzML	UoC22_3	0.1.0
Caron_2023_Palimpsest	UoC23_1.mzML	UoC23_1	0.1.0
Caron_2023_Palimpsest	UoC23_2.mzML	UoC23_2	0.1.0
Caron_2023_Palimpsest	UoC23_3.mzML	UoC23_3	0.1.0
Caron_2023_Palimpsest	UoC24_1.mzML	UoC24_1	0.1.0
Caron_2023_Palimpsest	UoC24_2.mzML	UoC24_2	0.1.0
Caron_2023_Palimpsest	UoC24_3.mzML	UoC24_3	0.1.0
Caron_2023_Palimpsest	UoC25_1.mzML	UoC25_1	0.1.0
Caron_2023_Palimpsest	UoC25_2.mzML	UoC25_2	0.1.0
Caron_2023_Palimpsest	UoC25_3.mzML	UoC25_3	0.1.0
Caron_2023_Palimpsest	UoC26_1.mzML	UoC26_1	0.1.0
Caron_2023_Palimpsest	UoC26_2.mzML	UoC26_2	0.1.0
Caron_2023_Palimpsest	UoC26_3.mzML	UoC26_3	0.1.0
Caron_2023_Palimpsest	UoC27_1.mzML	UoC27_1	0.1.0
Caron_2023_Palimpsest	UoC27_2.mzML	UoC27_2	0.1.0
Caron_2023_Palimpsest	UoC27_3.mzML	UoC27_3	0.1.0
Caron_2023_Palimpsest	UoC28_1.mzML	UoC28_1	0.1.0
Caron_2023_Palimpsest	UoC28_2.mzML	UoC28_2	0.1.0
Caron_2023_Palimpsest	UoC28_3.mzML	UoC28_3	0.1.0
Caron_2023_Palimpsest	UoC29_1.mzML	UoC29_1	0.1.0
Caron_2023_Palimpsest	UoC29_2.mzML	UoC29_2	0.1.0
Caron_2023_Palimpsest	UoC29_3.mzML	UoC29_3	0.1.0
Caron_2023_Palimpsest	UoC30_1.mzML	UoC30_1	0.1.0
Caron_2023_Palimpsest	UoC30_2.mzML	UoC30_2	0.1.0
Caron_2023_Palimpsest	UoC30_3.mzML	UoC30_3	0.1.0
Caron_2023_Palimpsest	UoC31_1.mzML	UoC31_1	0.1.0
Caron_2023_Palimpsest	UoC31_2.mzML	UoC31_2	0.1.0
Caron_2023_Palimpsest	UoC31_3.mzML	UoC31_3	0.1.0
Caron_2023_Palimpsest	UoC32_1.mzML	UoC32_1	0.1.0
Caron_2023_Palimpsest	UoC32_2.mzML	UoC32_2	0.1.0
Caron_2023_Palimpsest	UoC32_3.mzML	UoC32_3	0.1.0
Caron_2023_Palimpsest	UoC33_1.mzML	UoC33_1	0.1.0
Caron_2023_Palimpsest	UoC33_2.mzML	UoC33_2	0.1.0
Caron_2023_Palimpsest	UoC33_3.mzML	UoC33_3	0.1.0
Caron_2023_Palimpsest	UoC34_1.mzML	UoC34_1	0.1.0
Caron_2023_Palimpsest	UoC34_2.mzML	UoC34_2	0.1.0
